date,mstr,btc,btc_holdings,diluted_shares,market_cap,btc_nav,mnav,ratio,ratio_dd_from_90d_peak_pct,btc_dd_from_ath_pct,lead_lag_diverging,shares_30d_annualized_pct,shares_90d_annualized_pct,shares_acceleration,realized_vol_30d_pct,realized_vol_90d_pct,gamma_armed,gamma_elevated,ratio_multiple_off_2y_low,preferred_max_yield_pct,credit_stress,btc_funding_8h_pct,btc_funding_annualized_pct
2024-05-28,167.535004,68296.21875,214400.0,168109890.10989,28164291055.197243,14642709300.0,1.923434,0.002453,-11.222404,-6.550427,False,47.087181,51.03768,False,100.852871,113.272741,False,False,3.625567,,False,,
2024-05-29,161.869995,67578.09375,214400.0,168318681.318681,27245744123.186386,14488743300.0,1.880477,0.002395,-13.312816,-7.533036,False,47.026514,50.966414,False,101.631625,113.098736,False,False,3.540197,,False,,
2024-05-30,154.100006,68364.992188,214400.0,168527472.527473,25970084545.09358,14657454325.0,1.7718,0.002254,-18.423819,-6.456324,False,46.966003,50.895347,False,83.796127,113.155906,False,False,3.33147,,False,,
2024-05-31,152.449005,67491.414062,214400.0,168736263.736264,25723675535.432583,14470159175.0,1.777705,0.002259,-18.25324,-7.651639,False,46.905648,50.824478,False,82.890438,113.180921,False,False,3.338437,,False,,
2024-06-01,152.449005,67706.9375,214400.0,168945054.945055,25755505547.492058,14516367400.0,1.774239,0.002252,-18.513455,-7.356739,False,46.845447,50.753806,False,79.337123,113.180921,False,False,3.32781,,False,,
2024-06-02,152.449005,67751.601562,214400.0,169153846.153846,25787335559.551533,14525943375.0,1.775261,0.00225,-18.567173,-7.295625,False,46.785401,50.68333,False,76.574269,107.571965,False,False,3.325616,,False,,
2024-06-03,162.740997,68804.78125,214400.0,169362637.362637,27562244512.201668,14751745100.0,1.868406,0.002365,-14.400183,-5.854562,False,46.725509,50.613049,False,78.350093,100.141268,False,False,3.495791,,False,,
2024-06-04,163.876999,70567.765625,214400.0,169571428.571429,27788856813.703262,15129728950.0,1.836706,0.002322,-15.956116,-3.442274,True,46.665769,50.542963,False,78.302552,96.148222,False,False,3.432248,,False,,
2024-06-05,169.468994,71082.820312,214400.0,169780219.78022,28772483071.128094,15240156675.0,1.887939,0.002384,-13.718024,-2.737526,True,46.606183,50.473071,False,78.211794,96.058522,False,False,3.523649,,False,,
2024-06-06,165.662994,70757.164062,214400.0,169989010.989011,28160888572.94439,15170335975.0,1.856313,0.002341,-15.267588,-3.183121,True,46.546748,50.403372,False,78.596118,94.953326,False,False,3.460367,,False,,
2024-06-07,159.619995,69342.585938,214400.0,170197802.197802,27166972355.76923,14867050425.0,1.827328,0.002302,-16.692953,-5.118685,False,46.487465,50.333866,False,79.318419,95.175151,False,False,3.402157,,False,,
2024-06-08,159.619995,69305.773438,214400.0,170406593.406593,27200299607.496998,14859157825.0,1.830541,0.002303,-16.648703,-5.169055,False,46.428332,50.26455,False,79.21042,95.175151,False,False,3.403964,,False,,
2024-06-09,159.619995,69647.992188,214400.0,170615384.615385,27233626859.22476,14932529525.0,1.823779,0.002292,-17.058254,-4.700798,True,46.36935,50.195426,False,75.934387,94.945544,False,False,3.387238,,False,,
2024-06-10,159.992004,69512.28125,214400.0,170824175.824176,27330502289.15372,14903433100.0,1.833839,0.002302,-16.702644,-4.886491,True,46.310518,50.126491,False,75.91059,94.201726,False,False,3.401761,,False,,
2024-06-11,155.548996,67332.03125,214400.0,171032967.032967,26604006300.03541,14435987500.0,1.842895,0.00231,-16.393513,-7.869723,False,46.251834,50.057745,False,76.672332,92.688606,False,False,3.414386,,False,,
2024-06-12,160.367004,68241.1875,214400.0,171241758.241758,27461527796.4833,14630910600.0,1.876953,0.00235,-14.952232,-6.625726,False,46.193299,49.989188,False,75.777183,92.443219,False,False,3.326706,,False,,
2024-06-13,148.388,66756.398438,214400.0,171450549.450549,25441204215.58422,14312571825.0,1.777542,0.002223,-19.554757,-8.65736,False,46.134912,49.920818,False,79.087621,92.741741,False,False,2.92842,,False,,
2024-06-14,149.554001,66011.09375,214400.0,171659340.659341,25672341179.648598,14152778500.0,1.813944,0.002266,-18.007224,-9.677159,False,46.076673,49.852635,False,66.546305,92.755854,False,False,2.862058,,False,,
2024-06-15,149.554001,66191.0,214400.0,171868131.868132,25703566740.26657,14191350400.0,1.811214,0.002259,-18.23008,-9.430993,False,46.01858,49.784637,False,65.288372,92.755854,False,False,2.777043,,False,,
2024-06-16,149.554001,66639.046875,214400.0,172076923.076923,25734792300.88454,14287411650.0,1.801221,0.002244,-18.779859,-8.817932,False,45.960634,49.716826,False,58.840585,88.254804,False,False,2.758371,,False,,
2024-06-17,150.725998,66490.296875,214400.0,172285714.285714,25967936213.90206,14255519650.0,1.821606,0.002267,-17.960241,-9.021466,False,45.902833,49.649198,False,58.906247,87.708949,False,False,2.786207,,False,,
2024-06-18,146.942993,65140.746094,214400.0,172494505.494506,25346858941.71746,13966175962.5,1.814875,0.002256,-18.362324,-10.868054,False,45.845177,49.581754,False,59.303128,86.583198,False,False,2.772551,,False,,
2024-06-19,146.942993,64960.296875,214400.0,172703296.703297,25377539346.883583,13927487650.0,1.822119,0.002262,-18.135547,-11.114962,False,45.787667,49.514494,False,53.019994,86.390628,False,False,2.755302,,False,,
2024-06-20,146.539993,64828.65625,226331.0,172912087.912088,25338536201.72857,14672734597.71875,1.726913,0.00226,-18.194288,-11.295085,False,45.7303,49.447415,False,51.842732,86.009874,False,False,2.753325,,False,,
2024-06-21,148.376007,64096.199219,226331.0,173120879.120879,25686984786.148907,14506956865.378906,1.770667,0.002315,-16.222792,-12.297305,False,45.673077,49.380518,False,52.061363,86.036861,False,False,2.81968,,False,,
2024-06-22,148.376007,64252.578125,226331.0,173329670.32967,25717964392.022766,14542350259.609377,1.768487,0.002309,-16.42669,-12.083332,False,45.615997,49.313802,False,48.738637,86.036861,False,False,2.812817,,False,,
2024-06-23,148.376007,63180.796875,226331.0,173538461.538462,25748943997.896633,14299772937.515623,1.800654,0.002348,-15.008976,-13.549848,False,45.559059,49.247266,False,40.887408,79.244192,False,False,2.860533,,False,,
2024-06-24,137.214996,60277.414062,226331.0,173747252.747253,23840728649.43285,13642647402.179688,1.747515,0.002276,-17.616271,-17.522541,False,45.502264,49.180909,False,46.129092,80.212837,False,False,2.772779,,False,,
2024-06-25,149.574005,61804.640625,226331.0,173956043.956044,26019302210.545803,13988306117.296877,1.860075,0.00242,-1.580385,-15.43284,False,45.445609,49.114731,False,53.434337,81.49877,False,False,2.947837,,False,,
2024-06-26,145.772995,60811.277344,226331.0,174164835.164835,25388529644.808926,13763477212.488281,1.84463,0.002397,-2.514601,-16.792057,False,45.389096,49.04873,False,53.787851,79.211854,False,False,2.919855,,False,,
2024-06-27,152.539993,61604.800781,226331.0,174373626.373626,26598951796.3116,13943076165.621094,1.907682,0.002476,0.0,-15.70628,False,45.332723,48.982907,False,55.718383,79.602991,False,False,3.016043,,False,,
2024-06-28,137.748001,60320.136719,226331.0,174582417.582418,24048379048.944828,13652316863.691406,1.761487,0.002284,-7.773904,-17.464083,False,45.27649,48.91726,False,62.095446,81.368457,False,False,2.781579,,False,,
2024-06-29,137.748001,60887.378906,226331.0,174791208.791209,24077139620.602787,13780701355.230469,1.747164,0.002262,-8.633106,-16.687927,False,45.220396,48.851789,False,60.700462,81.368457,False,False,2.755665,,False,,
2024-06-30,137.748001,62678.292969,226331.0,175000000.0,24105900192.260742,14186040725.910156,1.699269,0.002198,-11.243743,-14.237423,False,45.164442,48.786493,False,60.672295,81.111504,False,False,2.676927,,False,,
2024-07-01,136.597,62851.980469,226331.0,175128205.128205,23921987457.27539,14225351591.472656,1.681645,0.002173,-12.228599,-13.999767,False,44.52828,48.51243,False,60.680413,80.914067,False,False,2.647223,,False,,
2024-07-02,132.018997,62029.015625,226331.0,175256410.25641,23137175533.58812,14039089135.421877,1.648054,0.002128,-14.044757,-15.125828,False,43.893689,48.239097,False,61.302886,81.032016,False,False,2.592447,,False,,
2024-07-03,130.209,60173.921875,226331.0,175384615.384615,22836655320.387623,13619223911.890623,1.676796,0.002164,-12.609642,-17.664149,False,43.260663,47.966492,False,57.616233,81.043823,False,False,2.635731,,False,,
2024-07-04,130.209,56977.703125,226331.0,175512820.51282,22853348781.87913,12895820525.984377,1.772152,0.002285,-7.707396,-22.037528,False,42.629195,47.694612,False,57.500419,78.745795,False,False,2.783585,,False,,
2024-07-05,128.171997,56662.375,226331.0,175641025.641026,22512261023.88822,12824451996.125,1.755417,0.002262,-8.645654,-22.468991,False,41.999281,47.423454,False,56.189975,78.78369,False,False,2.755286,,False,,
2024-07-06,128.171997,58303.539062,226331.0,175769230.769231,22528693331.20493,13195898299.554688,1.70725,0.002198,-11.217153,-20.22339,False,41.370914,47.153015,False,56.104695,78.78369,False,False,2.677729,,False,,
2024-07-07,128.171997,55849.109375,226331.0,175897435.897436,22545125638.521637,12640384773.953123,1.783579,0.002295,-7.315367,-23.581781,False,40.744089,46.883293,False,55.488572,78.30227,False,False,2.795408,,False,,
2024-07-08,129.057999,56705.097656,226331.0,176025641.025641,22717516943.124622,12834121457.636719,1.770087,0.002276,-8.083462,-22.410534,False,40.118799,46.614283,False,55.603278,77.911279,False,False,2.772242,,False,,
2024-07-09,130.177002,58009.226562,226331.0,176153846.153846,22931179574.81971,13129286257.117188,1.746567,0.002244,-9.370825,-20.626097,False,39.495041,46.345985,False,55.754952,76.612552,False,False,2.733415,,False,,
2024-07-10,130.572006,57742.496094,226331.0,176282051.282051,23017501097.45906,13068916883.394531,1.76124,0.002261,-8.675909,-20.991064,False,38.872807,46.078394,False,55.765303,76.607841,False,False,2.754374,,False,,
2024-07-11,135.856003,57344.914062,226331.0,176410256.410256,23966392290.164265,12978931744.679688,1.846561,0.002369,-4.321411,-21.535074,False,38.252092,45.811508,False,56.957206,76.525058,False,False,2.885707,,False,,
2024-07-12,139.675995,57899.464844,226331.0,176538461.538462,24658185248.741737,13104443777.550781,1.881666,0.002412,-2.573285,-20.776284,False,37.632891,45.545324,False,56.814492,76.675315,False,False,2.938432,,False,,
2024-07-13,139.675995,59231.953125,226331.0,176666666.666667,24676092427.571613,13406027182.734377,1.840672,0.002358,-4.765007,-18.953043,False,37.015197,45.279839,False,52.429197,76.675315,False,False,2.872328,,False,,
2024-07-14,139.675995,60787.792969,226331.0,176794871.794872,24693999606.401493,13758161970.410156,1.794862,0.002298,-7.202509,-16.82419,False,36.399007,45.015052,False,52.350513,74.725944,False,False,2.798812,,False,,
2024-07-15,161.128006,64870.152344,226331.0,176923076.923077,28507262596.717247,14682126450.113281,1.94163,0.002484,0.0,-11.238306,False,35.784314,44.750958,False,67.170057,77.650573,False,False,3.025481,,False,,
2024-07-16,166.429993,65097.148438,226331.0,177051282.051282,29466643575.03255,14733502703.007812,1.999975,0.002557,0.0,-10.927708,False,35.171112,44.487555,False,67.719149,77.204883,False,False,3.114139,,False,,
2024-07-17,159.0,64118.792969,226331.0,177179487.179487,28171538461.53846,14512070531.410156,1.941249,0.00248,-3.006606,-12.26639,False,34.559397,44.224841,False,69.185808,77.612466,False,False,3.020509,,False,,
2024-07-18,155.516006,63974.066406,226331.0,177307692.307692,27574184224.055367,14479314423.792969,1.904385,0.002431,-4.917299,-12.464419,False,33.949162,43.962813,False,69.080706,77.545651,False,False,2.961007,,False,,
2024-07-19,177.850006,66710.15625,226331.0,177435897.435897,31556975441.95713,15098576374.21875,2.090063,0.002666,0.0,-8.720633,False,33.340403,43.701468,False,78.998035,80.584147,False,False,3.247359,,False,,
2024-07-20,177.850006,67163.648438,226331.0,177564102.564103,31579776724.790916,15201215714.507812,2.077451,0.002648,-0.675205,-8.10012,False,32.733114,43.440803,False,78.974522,80.584147,False,False,3.225433,,False,,
2024-07-21,177.850006,68154.523438,226331.0,177692307.692308,31602578007.6247,15425481444.132812,2.048726,0.00261,-2.119254,-6.744308,False,32.12729,43.180816,False,78.974818,78.178489,False,False,3.178539,,False,,
2024-07-22,180.009003,67585.25,226331.0,177820512.820513,32009293169.853016,15296637217.75,2.092571,0.002663,-0.096576,-7.523244,False,31.522926,42.921504,False,78.972061,78.181705,False,False,3.244223,,False,,
2024-07-23,172.177002,65927.671875,226331.0,177948717.948718,30638676757.8125,14921475903.140623,2.053327,0.002612,-2.040745,-9.791305,False,30.920016,42.662865,False,80.328133,77.956712,False,True,3.181089,,False,,
2024-07-24,167.268997,65372.132812,226331.0,178076923.076923,29786748346.182014,14795740191.585938,2.013198,0.002559,-4.024392,-10.551448,False,30.318555,42.404896,False,77.099776,78.045466,False,False,3.116672,,False,,
2024-07-25,160.647003,65777.226562,226331.0,178205128.205128,28628119796.361675,14887425465.117188,1.922973,0.002442,-8.391633,-9.997159,False,29.718537,42.147593,False,74.422395,78.218249,False,False,2.974852,,False,,
